  Description                data   r5     r3        r4_1   r4_0     r7     r1     r0
Before BRANCHES              0x46   0x04  0x6000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x46   0x04  0x6000        4      5   0x61   0x00   0x61
Before BRANCHES              0x47   0x04  0x7000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x47   0x04  0x7000        4      5   0x61   0x00   0x61
Before BRANCHES              0x48   0x04  0x8000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x48   0x04  0x8000        4      5   0x61   0x00   0x61
Before BRANCHES              0x49   0x04  0x9000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x49   0x04  0x9000        4      5   0x61   0x00   0x61
Before BRANCHES              0x4a   0x04  0xa000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x4a   0x04  0xa000        4      5   0x61   0x00   0x61
Before BRANCHES              0x4b   0x04  0xb000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x4b   0x04  0xb000        4      5   0x61   0x00   0x61
Before BRANCHES              0x4c   0x04  0xc000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x4c   0x04  0xc000        4      5   0x61   0x00   0x61
Before BRANCHES              0x4d   0x04  0xd000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x4d   0x04  0xd000        4      5   0x61   0x00   0x61
Before BRANCHES              0x4e   0x04  0xe000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x4e   0x04  0xe000        4      5   0x61   0x00   0x61
Before BRANCHES              0x4f   0x04  0xf000        4      5   -NA-   0x62   0x61
END r0 < r1                  0x4f   0x04  0xf000        4      5   0x61   0x00   0x61
Before BRANCHES              0x50   0x05  0x0000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x50   0x05  0x0000        5      6   0x60   0x00   0x60
Before BRANCHES              0x51   0x05  0x1000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x51   0x05  0x1000        5      6   0x60   0x00   0x60
Before BRANCHES              0x52   0x05  0x2000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x52   0x05  0x2000        5      6   0x60   0x00   0x60
Before BRANCHES              0x53   0x05  0x3000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x53   0x05  0x3000        5      6   0x60   0x00   0x60
Before BRANCHES              0x54   0x05  0x4000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x54   0x05  0x4000        5      6   0x60   0x00   0x60
Before BRANCHES              0x55   0x05  0x5000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x55   0x05  0x5000        5      6   0x60   0x00   0x60
Before BRANCHES              0x56   0x05  0x6000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x56   0x05  0x6000        5      6   0x60   0x00   0x60
Before BRANCHES              0x57   0x05  0x7000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x57   0x05  0x7000        5      6   0x60   0x00   0x60
Before BRANCHES              0x58   0x05  0x8000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x58   0x05  0x8000        5      6   0x60   0x00   0x60
Before BRANCHES              0x59   0x05  0x9000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x59   0x05  0x9000        5      6   0x60   0x00   0x60
Before BRANCHES              0x5a   0x05  0xa000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x5a   0x05  0xa000        5      6   0x60   0x00   0x60
Before BRANCHES              0x5b   0x05  0xb000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x5b   0x05  0xb000        5      6   0x60   0x00   0x60
Before BRANCHES              0x5c   0x05  0xc000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x5c   0x05  0xc000        5      6   0x60   0x00   0x60
Before BRANCHES              0x5d   0x05  0xd000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x5d   0x05  0xd000        5      6   0x60   0x00   0x60
Before BRANCHES              0x5e   0x05  0xe000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x5e   0x05  0xe000        5      6   0x60   0x00   0x60
Before BRANCHES              0x5f   0x05  0xf000        5      6   -NA-   0x61   0x60
END r0 < r1                  0x5f   0x05  0xf000        5      6   0x60   0x00   0x60
Before BRANCHES              0x60   0x06  0x0000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x60   0x06  0x0000        6      7   0x58   0x00   0x58
Before BRANCHES              0x61   0x06  0x1000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x61   0x06  0x1000        6      7   0x58   0x00   0x58
Before BRANCHES              0x62   0x06  0x2000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x62   0x06  0x2000        6      7   0x58   0x01   0x57
Before BRANCHES              0x63   0x06  0x3000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x63   0x06  0x3000        6      7   0x58   0x01   0x57
Before BRANCHES              0x64   0x06  0x4000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x64   0x06  0x4000        6      7   0x58   0x02   0x56
Before BRANCHES              0x65   0x06  0x5000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x65   0x06  0x5000        6      7   0x58   0x02   0x56
Before BRANCHES              0x66   0x06  0x6000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x66   0x06  0x6000        6      7   0x58   0x03   0x55
Before BRANCHES              0x67   0x06  0x7000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x67   0x06  0x7000        6      7   0x58   0x03   0x55
Before BRANCHES              0x68   0x06  0x8000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x68   0x06  0x8000        6      7   0x58   0x04   0x54
Before BRANCHES              0x69   0x06  0x9000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x69   0x06  0x9000        6      7   0x58   0x04   0x54
Before BRANCHES              0x6a   0x06  0xa000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x6a   0x06  0xa000        6      7   0x58   0x05   0x53
Before BRANCHES              0x6b   0x06  0xb000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x6b   0x06  0xb000        6      7   0x58   0x05   0x53
Before BRANCHES              0x6c   0x06  0xc000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x6c   0x06  0xc000        6      7   0x58   0x06   0x52
Before BRANCHES              0x6d   0x06  0xd000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x6d   0x06  0xd000        6      7   0x58   0x06   0x52
Before BRANCHES              0x6e   0x06  0xe000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x6e   0x06  0xe000        6      7   0x58   0x07   0x51
Before BRANCHES              0x6f   0x06  0xf000        6      7   -NA-   0x60   0x58
END r0 < r1                  0x6f   0x06  0xf000        6      7   0x58   0x07   0x51
Before BRANCHES              0x70   0x07  0x0000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x70   0x07  0x0000        7      8   0x44   0x00   0x44
Before BRANCHES              0x71   0x07  0x1000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x71   0x07  0x1000        7      8   0x44   0x01   0x43
Before BRANCHES              0x72   0x07  0x2000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x72   0x07  0x2000        7      8   0x44   0x02   0x42
Before BRANCHES              0x73   0x07  0x3000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x73   0x07  0x3000        7      8   0x44   0x03   0x41
Before BRANCHES              0x74   0x07  0x4000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x74   0x07  0x4000        7      8   0x44   0x05   0x3f
Before BRANCHES              0x75   0x07  0x5000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x75   0x07  0x5000        7      8   0x44   0x06   0x3e
Before BRANCHES              0x76   0x07  0x6000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x76   0x07  0x6000        7      8   0x44   0x07   0x3d
Before BRANCHES              0x77   0x07  0x7000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x77   0x07  0x7000        7      8   0x44   0x08   0x3c
Before BRANCHES              0x78   0x07  0x8000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x78   0x07  0x8000        7      8   0x44   0x0a   0x3a
Before BRANCHES              0x79   0x07  0x9000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x79   0x07  0x9000        7      8   0x44   0x0b   0x39
Before BRANCHES              0x7a   0x07  0xa000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x7a   0x07  0xa000        7      8   0x44   0x0c   0x38
Before BRANCHES              0x7b   0x07  0xb000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x7b   0x07  0xb000        7      8   0x44   0x0d   0x37
Before BRANCHES              0x7c   0x07  0xc000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x7c   0x07  0xc000        7      8   0x44   0x0f   0x35
Before BRANCHES              0x7d   0x07  0xd000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x7d   0x07  0xd000        7      8   0x44   0x10   0x34
Before BRANCHES              0x7e   0x07  0xe000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x7e   0x07  0xe000        7      8   0x44   0x11   0x33
Before BRANCHES              0x7f   0x07  0xf000        7      8   -NA-   0x58   0x44
END r0 < r1                  0x7f   0x07  0xf000        7      8   0x44   0x12   0x32
Before BRANCHES              0x80   0x08  0x0000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x80   0x08  0x0000        8      9   0x42   0x00   0x42
Before BRANCHES              0x81   0x08  0x1000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x81   0x08  0x1000        8      9   0x42   0x00   0x42
Before BRANCHES              0x82   0x08  0x2000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x82   0x08  0x2000        8      9   0x42   0x00   0x42
Before BRANCHES              0x83   0x08  0x3000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x83   0x08  0x3000        8      9   0x42   0x00   0x42
Before BRANCHES              0x84   0x08  0x4000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x84   0x08  0x4000        8      9   0x42   0x00   0x42
Before BRANCHES              0x85   0x08  0x5000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x85   0x08  0x5000        8      9   0x42   0x00   0x42
Before BRANCHES              0x86   0x08  0x6000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x86   0x08  0x6000        8      9   0x42   0x00   0x42
Before BRANCHES              0x87   0x08  0x7000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x87   0x08  0x7000        8      9   0x42   0x00   0x42
Before BRANCHES              0x88   0x08  0x8000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x88   0x08  0x8000        8      9   0x42   0x01   0x41
Before BRANCHES              0x89   0x08  0x9000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x89   0x08  0x9000        8      9   0x42   0x01   0x41
Before BRANCHES              0x8a   0x08  0xa000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x8a   0x08  0xa000        8      9   0x42   0x01   0x41
Before BRANCHES              0x8b   0x08  0xb000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x8b   0x08  0xb000        8      9   0x42   0x01   0x41
Before BRANCHES              0x8c   0x08  0xc000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x8c   0x08  0xc000        8      9   0x42   0x01   0x41
Before BRANCHES              0x8d   0x08  0xd000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x8d   0x08  0xd000        8      9   0x42   0x01   0x41
Before BRANCHES              0x8e   0x08  0xe000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x8e   0x08  0xe000        8      9   0x42   0x01   0x41
Before BRANCHES              0x8f   0x08  0xf000        8      9   -NA-   0x44   0x42
END r0 < r1                  0x8f   0x08  0xf000        8      9   0x42   0x01   0x41
Before BRANCHES              0x90   0x09  0x0000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x90   0x09  0x0000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x91   0x09  0x1000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x91   0x09  0x1000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x92   0x09  0x2000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x92   0x09  0x2000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x93   0x09  0x3000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x93   0x09  0x3000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x94   0x09  0x4000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x94   0x09  0x4000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x95   0x09  0x5000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x95   0x09  0x5000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x96   0x09  0x6000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x96   0x09  0x6000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x97   0x09  0x7000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x97   0x09  0x7000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x98   0x09  0x8000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x98   0x09  0x8000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x99   0x09  0x9000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x99   0x09  0x9000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x9a   0x09  0xa000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x9a   0x09  0xa000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x9b   0x09  0xb000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x9b   0x09  0xb000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x9c   0x09  0xc000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x9c   0x09  0xc000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x9d   0x09  0xd000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x9d   0x09  0xd000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x9e   0x09  0xe000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x9e   0x09  0xe000        9     10   -NA-   0x42   0x42
Before BRANCHES              0x9f   0x09  0xf000        9     10   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0x9f   0x09  0xf000        9     10   -NA-   0x42   0x42
Before BRANCHES              0xa0   0x0a  0x0000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa0   0x0a  0x0000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa1   0x0a  0x1000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa1   0x0a  0x1000       10     11   -NA-   0x42   0x42
Before BRANCHES              0xa2   0x0a  0x2000       10     11   -NA-   0x42   0x42
2nd BRANCH r0 >= r1          0xa2   0x0a  0x2000       10     11   -NA-   0x42   0x42
